Is Dead,Accession Number,Catalogue Number,Accepted Name,TaxonomicName,Genus,Family,Provenance Code,Legacy Provenance Code,Country ISO,Last Seen On,source_file,Accession Date
ALIVE,1985-2070,K:LCD-1985-2070*3,Lotus berthelotii,Lotus berthelotii,Lotus,Fabaceae,,,,29-12-2024,TropicalNursery_Simplified.xlsx,1985
ALIVE,2002-2685,K:LCD-2002-2685*1,Adenium obesum,Adenium obesum,Adenium,Apocynaceae,,,,12-02-2024,TropicalNursery_Simplified.xlsx,2002
ALIVE,2001-3853,K:LCD-2001-3853*2,Selenicereus validus,Selenicereus validus,Selenicereus,Cactaceae,,,,28-07-2025,TropicalNursery_Simplified.xlsx,2001
ALIVE,1973-13709,K:LCD-1973-13709*4,Vanilla imperialis,Vanilla imperialis,Vanilla,Orchidaceae,,,,16-01-2025,TropicalNursery_Simplified.xlsx,1973
ALIVE,2005-148,K:LCD-2005-148*1,,Pelargonium 'Lemon Sherbert',Pelargonium,Geraniaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx,2005
ALIVE,1993-3437,K:LCD-1993-3437*1,,Jasminum polyanthum 'Harlequin',Jasminum,Oleaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx,1993
ALIVE,2013-576,K:LCD-2013-576*4,Citrus hystrix,Citrus hystrix,Citrus,Rutaceae,,,,25-07-2025,TropicalNursery_Simplified.xlsx,2013
ALIVE,2014-1360,K:LCD-2014-1360*1,Alyogyne,Alyogyne,Alyogyne,Malvaceae,,,Australia,25-07-2025,TropicalNursery_Simplified.xlsx,2014
ALIVE,1997-6061,K:LCD-1997-6061*1,Deamia chontalensis,Strophocactus chontalensis,Strophocactus,Cactaceae,,N - Natural Source and Progeny,Mexico,24-07-2025,TropicalNursery_Simplified.xlsx,1997
ALIVE,1988-1945,K:LCD-1988-1945*1,Begonia diadema,Begonia diadema,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx,1988
ALIVE,1988-3340,K:LCD-1988-3340*1,,Begonia 'Burle Marx',Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx,1988
ALIVE,1989-1745,K:LCD-1989-1745*1,Polystachya dolichophylla,Polystachya dolichophylla,Polystachya,Orchidaceae,,N - Natural Source and Progeny,Cameroon,26-09-2024,TropicalNursery_Simplified.xlsx,1989
ALIVE,1992-2097,K:LCD-1992-2097*1,Begonia gehrtii,Begonia gehrtii,Begonia,Begoniaceae,,,,12-05-2022,TropicalNursery_Simplified.xlsx,1992
